nationalNumber,position,name,team,nationality,height,weight,age,overall
1,GK,Brice Samba,Stade Rennais FC,France,186,90,31,78
2,CB,Benjamin Pavard,Olympique de Marseille,France,186,81,29,77
3,LB,Lucas Digne,Aston RB,France,178,74,32,76
4,CB,Dayot Upamecano,Free Agents,France,186,90,27,80
5,RB,Jules Koundé,FC Barcelona,France,181,84,27,81
6,CMF,Eduardo Camavinga,Madrid Chamartin B,France,185,77,23,79
7,CF,Ousmane Dembélé,Paris Saint-Germain,France,178,67,28,83
8,DMF,Aurélien Tchouaméni,Madrid Chamartin B,France,187,81,25,81
9,CF,Marcus Thuram,Internazionale Milano,France,192,90,28,80
10,CF,Kylian Mbappé,Madrid Chamartin B,France,178,75,27,85
11,RWF,Michael Olise,Free Agents,France,180,78,24,83
12,CF,Randal Kolo Muani,Tottenham WB,France,187,73,27,78
13,CMF,Kouadio Koné,Roma GR,France,185,80,24,75
14,CMF,Adrien Rabiot,AC Milan,France,191,86,30,79
15,CB,Ibrahima Konaté,Liverpool R,France,194,95,26,79
16,GK,Mike Maignan,AC Milan,France,191,89,30,80
17,CB,William Saliba,Arsenal FC,France,192,85,24,83
18,CMF,Warren Zaïre-Emery,Paris Saint-Germain,France,178,68,19,78
19,CMF,Matteo Guendouzi,Fenerbahçe SK,France,185,68,26,78
20,LWF,Bradley Barcola,Paris Saint-Germain,France,182,73,23,79
21,RB,Jonathan Clauss,OGC Nice,France,178,69,33,76
22,LB,Théo Hernández,Free Agents,France,184,81,28,80
23,GK,Lucas Chevalier,Paris Saint-Germain,France,189,78,24,77
24,RWF,Désiré Doué,Paris Saint-Germain,France,181,79,20,80
25,DMF,N'Golo Kanté,Fenerbahçe SK,France,168,68,34,80
26,CMF,Youssouf Fofana,AC Milan,France,185,78,26,77
