nationalNumber,position,name,team,nationality,height,weight,age,overall
1,GK,Diogo Costa,FC Porto,Portugal,186,80,26,79
2,RB,Nélson Semedo,Fenerbahçe SK,Portugal,177,67,32,76
3,CB,Rúben Dias,Manchester B,Portugal,187,82,28,82
4,CB,António Silva,SL Benfica,Portugal,187,79,22,76
5,RB,Diogo Dalot,Manchester United,Portugal,183,76,26,77
6,DMF,João Palhinha,Tottenham WB,Portugal,190,83,30,80
7,CF,Cristiano Ronaldo,Free Agents,Portugal,187,84,40,81
8,AMF,Bruno Fernandes,Manchester United,Portugal,179,69,31,82
9,CF,Gonçalo Ramos,Paris Saint-Germain,Portugal,185,79,24,79
10,AMF,Bernardo Silva,Manchester B,Portugal,173,64,31,80
11,LWF,João Félix,Free Agents,Portugal,181,70,26,78
12,GK,José Sá,Wolverhampton YB,Portugal,192,84,32,76
13,CB,Tomás Araújo,SL Benfica,Portugal,187,81,23,76
14,CB,Gonçalo Inácio,Sporting CP,Portugal,186,77,24,77
15,CMF,João Neves,Paris Saint-Germain,Portugal,174,66,21,81
16,RWF,Francisco Trincão,Sporting CP,Portugal,184,75,26,78
17,LWF,Rafael Leão,AC Milan,Portugal,188,81,26,80
18,RWF,Pedro Neto,Chelsea B,Portugal,174,62,25,79
19,LB,Nuno Mendes,Paris Saint-Germain,Portugal,180,70,23,82
20,RB,João Cancelo,FC Barcelona,Portugal,182,74,31,78
21,DMF,Rúben Neves,Free Agents,Portugal,180,75,28,78
22,GK,Rui Silva,Sporting CP,Portugal,191,88,31,77
23,CMF,Vitinha,Paris Saint-Germain,Portugal,172,64,25,83
24,CMF,Matheus Nunes,Manchester B,Portugal,183,78,27,77
25,RWF,Geovany Quenda,Sporting CP,Portugal,172,68,18,74
26,RMF,Francisco Conceição,Piemonte BN,Portugal,170,61,23,76
